Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",2.55E-10,1.68E-08,3.46E-08,8.26E-07,2.51E-08,0.000376566,0.094093628,2.75E-09,1.13E-08,2.81E-09,1.75E-07,3.38E-12,4.41E-11,5.57E-08,5.34E-08,6.18E-09,3.33E-08,1.16E-09,1.64E-12,3.48E-07,4.54E-10,4.00E-10,7.54E-15,3.65E-08,"benign, cyst, na"
"benign, apocrine metaplasia, na",2.60E-06,1.69E-05,9.29E-07,1.91E-07,5.90E-06,0.0002127,3.72E-08,7.39E-07,1.08E-07,3.52E-09,8.12E-07,2.08E-06,0.999016523,4.08E-05,5.52E-06,9.26E-07,2.44E-06,1.18E-06,2.34E-09,3.41E-06,7.61E-10,1.25E-08,7.71E-07,8.17E-06,"benign, usual ductal hyperplasia, na"
"breast cancer, in situ, ductal",4.45E-08,1.92E-10,5.43E-06,4.44E-09,1.24E-06,2.49E-10,2.31E-09,9.73E-08,3.98E-08,5.16E-10,4.53E-07,3.42E-09,3.30E-10,0.999999881,6.62E-08,9.86E-07,4.20E-07,2.73E-11,1.10E-09,1.72E-08,4.34E-07,2.26E-12,3.82E-11,1.43E-06,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",3.71E-10,4.16E-12,4.26E-09,3.36E-09,1.05E-08,5.14E-10,4.46E-10,1.09E-07,9.96E-07,1.22E-08,1.07E-07,6.01E-11,7.38E-12,0.999975204,3.79E-06,1.80E-06,1.72E-07,6.36E-12,6.48E-10,3.28E-08,2.40E-10,6.89E-11,2.24E-05,7.96E-08,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",3.43E-09,1.38E-10,1.26E-10,2.39E-09,1.55E-06,2.65E-13,9.14E-10,9.36E-09,6.41E-08,7.60E-09,7.10E-09,4.19E-06,1.46E-05,0.125914648,2.75E-11,1.66E-08,0.008680514,1.44E-10,1.09E-09,5.62E-08,2.25E-05,1.32E-10,9.52E-12,3.01E-08,"breast cancer, in situ, ductal"
"benign, sclerosing adenosis, na",0.396782905,1.50E-06,5.64E-09,1.49E-05,3.42E-06,2.89E-09,1.39E-07,2.65E-07,9.47E-05,2.12E-07,3.72E-08,0.000257123,0.061092157,4.67E-05,1.96E-08,7.85E-07,1.06E-05,3.02E-08,5.68E-08,5.72E-05,1.97E-09,2.44E-09,1.60E-07,1.06E-05,"atypical, atypical ductal hyperplasia, na"
"atypical, fibroadenoma, na",1.51E-06,1.89E-07,0.99999851,8.92E-07,6.82E-07,1.31E-08,1.94E-08,7.54E-06,1.01E-06,8.42E-09,1.58E-06,1.77E-07,1.29E-07,1.17E-08,8.57E-07,6.79E-08,0.000156814,3.18E-07,1.42E-11,5.14E-07,4.11E-08,1.24E-07,2.35E-07,2.09E-06,"atypical, fibroadenoma, na"
"atypical, atypical lobular hyperplasia, na",4.50E-07,0.989423037,4.23E-07,6.46E-05,1.80E-05,2.38E-07,2.38E-05,5.70E-06,9.17E-06,5.71E-08,2.14E-05,0.008589726,5.85E-06,1.45E-06,0.000173907,2.38E-06,6.24E-07,0.000114651,7.45E-07,1.40E-06,4.48E-10,7.29E-09,5.71E-05,1.09E-06,"atypical, atypical lobular hyperplasia, na"
"breast cancer, invasive, ductal",5.27E-11,1.36E-11,1.48E-10,2.75E-09,1.11E-06,9.25E-11,1.21E-09,6.84E-08,1.41E-08,4.78E-09,4.10E-09,1.03E-09,9.54E-11,3.44E-06,1.39E-12,9.48E-08,0.999991894,1.58E-09,1.36E-07,8.44E-08,1.32E-06,5.84E-09,3.19E-13,3.37E-07,"breast cancer, invasive, ductal"
"benign, pseudoangiomatous stromal hyperplasia, na",4.49E-05,2.58E-07,7.88E-05,1.02E-05,1.65E-06,3.33E-07,6.63E-09,5.69E-07,4.99E-05,0.343905807,0.002523593,5.93E-08,0.000202016,0.000283089,0.000290739,1.54E-05,2.52E-08,6.14E-08,7.47E-10,2.66E-06,3.22E-07,6.80E-08,7.52E-08,1.50E-06,"benign, pseudoangiomatous stromal hyperplasia, na"
"benign, apocrine metaplasia, na",1.03E-06,4.83E-06,0.006798309,2.73E-08,6.93E-07,0.010640402,1.11E-10,2.20E-07,4.64E-11,1.77E-10,1.51E-08,6.20E-06,0.000300571,1.74E-07,1.74E-06,3.73E-08,2.46E-08,2.55E-07,9.45E-08,4.04E-07,4.54E-10,2.83E-10,1.16E-10,3.51E-07,"benign, apocrine metaplasia, na"
"benign, cyst, na",4.75E-11,2.73E-07,2.09E-08,6.59E-07,1.74E-07,3.08E-07,0.999997556,1.10E-06,6.50E-07,1.10E-07,6.29E-07,2.50E-08,1.64E-07,7.19E-07,6.68E-08,1.45E-08,4.36E-07,4.31E-07,3.97E-08,4.97E-07,1.36E-08,4.70E-09,3.04E-11,2.72E-07,"benign, cyst, na"
"benign, sclerosing adenosis, na",2.07E-06,2.71E-06,0.0010906,2.92E-06,4.20E-05,4.32E-05,1.69E-06,0.004169868,0.000126434,1.82E-06,1.33E-06,0.999997199,1.22E-05,0.000332476,6.55E-06,9.14E-05,0.004549701,0.000193842,0.000239993,1.85E-05,1.20E-07,7.85E-08,0.000123056,3.99E-05,"benign, sclerosing adenosis, na"
"atypical, atypical lobular hyperplasia, na",2.26E-07,0.942259073,4.96E-09,1.06E-06,1.20E-06,4.89E-08,7.28E-06,1.74E-08,3.43E-09,1.99E-08,2.66E-06,1.39E-09,1.20E-07,5.42E-05,7.99E-07,3.56E-07,1.02E-09,3.81E-08,1.07E-08,1.24E-07,1.45E-12,8.69E-11,2.13E-06,3.40E-07,"atypical, atypical lobular hyperplasia, na"
"atypical, atypical ductal hyperplasia, na",0.999893308,8.98E-05,6.31E-08,2.15E-07,1.48E-06,1.32E-07,3.03E-09,5.31E-07,9.55E-05,1.84E-06,6.07E-07,1.09E-08,8.63E-08,0.000196367,3.43E-07,9.12E-06,3.51E-06,1.20E-08,1.10E-06,8.81E-06,3.01E-08,4.44E-08,1.64E-05,2.82E-06,"atypical, atypical ductal hyperplasia, na"
"breast cancer, invasive, lobular",5.24E-10,5.24E-07,3.68E-07,8.33E-08,6.56E-07,8.66E-06,2.81E-06,6.47E-06,4.82E-08,1.02E-08,5.78E-06,8.35E-08,1.98E-07,1.09E-08,0.034152303,1.83E-05,7.83E-07,0.997368038,1.52E-06,0.000154499,2.87E-13,4.58E-06,6.78E-08,7.09E-06,"breast cancer, invasive, lobular"
"breast cancer, invasive, ductal",3.91E-11,5.03E-12,1.59E-09,4.87E-10,6.38E-07,3.02E-11,4.01E-09,1.00E-07,7.71E-08,2.41E-09,2.68E-08,1.12E-08,7.06E-09,0.974983811,7.64E-10,8.98E-08,0.259756058,1.33E-11,1.61E-10,4.33E-08,6.43E-06,7.23E-11,1.23E-13,1.88E-07,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",1.88E-09,1.14E-08,6.51E-08,3.20E-07,4.20E-05,1.46E-07,4.28E-08,6.24E-07,6.04E-08,1.95E-08,1.42E-05,5.90E-08,4.12E-10,0.999879062,3.81E-05,3.41E-05,8.47E-08,1.73E-09,1.39E-08,2.13E-06,1.37E-06,4.32E-09,2.57E-08,9.38E-06,"breast cancer, in situ, ductal"
"atypical, fibroadenoma, na",4.26E-06,1.96E-06,0.999987125,2.31E-06,8.20E-06,6.47E-06,7.32E-06,0.000503696,2.52E-05,1.05E-07,6.66E-06,3.83E-05,7.06E-06,1.57E-07,2.37E-06,8.98E-07,0.000140772,0.000189608,1.44E-06,4.21E-06,1.22E-05,1.96E-06,1.15E-05,1.70E-05,"atypical, fibroadenoma, na"
"breast cancer, metastasis, na",3.07E-09,8.50E-11,9.84E-11,7.13E-08,7.04E-06,3.10E-09,9.72E-08,4.36E-07,3.09E-07,1.03E-08,1.72E-08,9.29E-09,1.32E-09,2.76E-05,1.09E-10,3.11E-07,0.699635863,3.41E-08,1.31E-07,0.346324325,4.03E-07,5.07E-09,8.73E-10,5.93E-07,"breast cancer, invasive, ductal"
"atypical, atypical ductal hyperplasia, na",0.99999088,9.81E-06,1.37E-06,4.44E-06,1.25E-06,6.92E-08,3.88E-11,5.46E-07,1.12E-07,6.04E-07,1.45E-05,2.56E-08,8.88E-10,1.21E-05,4.35E-07,3.24E-06,6.60E-07,2.86E-09,3.33E-07,7.16E-06,1.55E-09,4.77E-09,2.18E-07,2.95E-06,"atypical, atypical ductal hyperplasia, na"
"benign, cyst, na",3.07E-09,1.49E-06,2.40E-06,1.58E-06,3.31E-06,4.29E-05,0.99998045,5.41E-05,4.81E-06,1.33E-06,4.37E-06,1.31E-06,1.01E-05,1.40E-06,2.42E-07,3.60E-07,1.16E-05,2.96E-05,3.06E-06,6.52E-06,8.83E-07,3.85E-07,1.83E-07,5.20E-06,"benign, cyst, na"
"benign, cyst, na",4.80E-09,1.93E-08,1.10E-05,7.30E-07,3.44E-06,0.96966964,0.019202385,1.09E-06,2.96E-06,1.48E-05,2.20E-06,1.15E-07,3.16E-06,2.45E-06,1.38E-07,1.21E-07,5.29E-09,9.39E-07,2.74E-06,4.72E-07,1.95E-06,6.78E-08,7.40E-07,1.05E-06,"benign, apocrine metaplasia, na"
"benign, cyst, na",1.78E-09,1.48E-07,7.70E-06,1.22E-07,3.07E-06,1.03E-07,0.189641878,0.000185417,3.87E-06,5.52E-07,9.78E-06,8.10E-10,1.90E-10,4.76E-05,3.89E-07,1.87E-07,5.89E-07,9.64E-11,4.79E-11,9.19E-08,1.44E-10,3.15E-09,3.34E-08,1.58E-07,"benign, cyst, na"
"breast cancer, in situ, ductal",1.48E-08,4.76E-10,1.60E-08,1.81E-09,1.19E-06,1.50E-09,9.48E-09,1.01E-07,9.20E-07,5.07E-09,4.37E-07,1.08E-08,4.55E-11,1,6.33E-06,8.76E-06,2.32E-08,4.95E-12,3.78E-10,1.12E-07,1.32E-07,1.55E-11,5.30E-10,9.54E-07,"breast cancer, in situ, ductal"
"benign, apocrine metaplasia, na",2.70E-08,4.89E-05,9.80E-05,2.31E-07,2.68E-07,0.999538302,3.77E-08,0.002557502,7.75E-10,2.11E-07,2.09E-08,1.84E-07,0.000212767,6.11E-05,4.39E-08,7.43E-07,1.14E-06,1.18E-06,9.59E-07,1.94E-06,4.01E-07,1.08E-09,1.99E-05,4.66E-06,"benign, apocrine metaplasia, na"
"benign, usual ductal hyperplasia, na",3.66E-06,1.60E-07,6.19E-07,1.12E-06,3.98E-06,4.47E-08,1.28E-06,2.32E-07,4.48E-07,4.79E-06,1.05E-07,2.70E-06,1,2.16E-08,2.43E-08,6.93E-08,2.04E-05,8.24E-06,2.59E-08,7.28E-07,1.13E-07,3.87E-08,4.13E-07,5.00E-07,"benign, usual ductal hyperplasia, na"
"breast cancer, invasive, ductal",2.35E-11,1.63E-07,1.62E-12,2.18E-10,2.45E-07,1.55E-12,3.18E-08,3.29E-09,8.59E-11,6.24E-11,1.05E-10,7.37E-10,3.26E-13,8.24E-08,8.42E-13,1.45E-08,0.999977589,1.16E-10,2.50E-09,3.15E-08,5.89E-10,3.41E-10,3.14E-11,2.33E-08,"breast cancer, invasive, ductal"
"breast cancer, in situ, ductal",1.26E-07,4.49E-09,1.61E-08,1.58E-08,9.14E-07,5.51E-08,3.98E-08,2.20E-06,8.28E-06,7.27E-09,2.81E-08,2.50E-07,1.23E-13,0.998248041,8.09E-07,2.91E-05,1.46E-06,2.17E-10,6.19E-05,6.08E-07,1.35E-08,4.52E-10,2.41E-05,1.91E-06,"breast cancer, in situ, ductal"
"breast cancer, na, na",7.27E-07,3.24E-07,6.31E-07,8.76E-08,1.50E-06,9.73E-07,5.52E-07,9.04E-06,8.62E-07,2.08E-07,1.01E-07,1.44E-06,6.79E-07,2.20E-09,4.58E-10,0.000167629,5.06E-07,3.84E-05,3.02E-05,4.45E-06,3.92E-08,4.37E-06,0.999993265,1.03E-06,"breast cancer, na, na"
"atypical, atypical lobular hyperplasia, na",2.85E-07,0.995731711,7.19E-09,3.53E-08,3.46E-06,5.25E-07,8.98E-05,3.21E-06,7.91E-06,6.33E-07,2.49E-05,4.40E-08,1.35E-09,3.32E-05,8.33E-06,1.62E-05,6.97E-07,0.000124701,1.38E-07,5.65E-06,4.25E-11,2.68E-08,0.000518372,6.14E-06,"atypical, atypical lobular hyperplasia, na"
"benign, pseudoangiomatous stromal hyperplasia, na",5.32E-06,2.78E-05,6.10E-05,0.00037302,4.93E-06,2.52E-05,2.66E-06,7.81E-06,6.76E-06,0.997445464,0.000894027,2.65E-05,7.95E-06,1.46E-05,0.000877031,6.88E-05,4.40E-06,1.04E-06,2.83E-07,1.64E-05,4.31E-07,1.92E-06,7.66E-06,2.55E-05,"benign, pseudoangiomatous stromal hyperplasia, na"
"atypical, fibroadenoma, na",3.34E-07,5.94E-07,0.99999994,3.73E-06,1.12E-06,1.86E-08,3.26E-08,1.25E-05,3.53E-07,4.21E-10,3.47E-07,9.15E-08,1.64E-08,1.36E-09,7.24E-08,3.69E-08,3.26E-05,4.09E-05,2.62E-08,5.80E-08,3.05E-08,6.61E-08,2.11E-06,4.25E-07,"atypical, fibroadenoma, na"
"breast cancer, invasive, lobular",3.83E-09,1.06E-06,6.69E-07,2.50E-07,6.23E-06,2.51E-05,1.90E-05,2.52E-05,1.02E-07,1.78E-08,1.37E-06,1.91E-07,6.07E-06,1.47E-12,6.66E-05,1.04E-06,5.88E-05,0.999907792,4.54E-05,4.95E-05,5.32E-10,0.000596237,1.24E-07,5.33E-06,"breast cancer, invasive, lobular"
"breast cancer, invasive, ductal",5.20E-11,9.74E-12,2.48E-10,1.38E-09,1.45E-06,6.96E-12,4.89E-10,4.97E-08,6.46E-09,8.05E-10,8.77E-10,9.33E-10,6.55E-11,2.03E-07,3.12E-13,5.77E-08,0.999999583,2.61E-09,3.03E-08,2.05E-08,6.41E-08,1.88E-09,2.90E-13,7.25E-08,"breast cancer, invasive, ductal"
"atypical, atypical lobular hyperplasia, na",5.44E-07,0.990611374,1.93E-07,1.28E-07,2.16E-06,2.47E-06,7.67E-07,9.45E-06,7.86E-08,1.35E-07,6.44E-05,0.127712458,7.83E-09,2.41E-07,0.000177791,2.90E-06,1.10E-05,3.81E-05,3.34E-07,3.59E-07,9.03E-12,9.62E-10,2.82E-07,1.14E-07,"atypical, atypical lobular hyperplasia, na"
"benign, apocrine metaplasia, na",2.81E-07,4.65E-06,9.95E-06,3.21E-06,9.63E-07,0.999891818,1.09E-09,7.28E-05,2.28E-07,1.45E-06,2.23E-05,0.000109575,1.18E-05,1.51E-05,6.97E-06,3.91E-06,5.87E-06,1.01E-06,1.44E-07,4.65E-06,2.60E-07,2.05E-08,2.50E-06,8.16E-06,"benign, apocrine metaplasia, na"
"breast cancer, na, na",2.76E-06,1.87E-06,0.001619086,2.23E-06,3.61E-05,0.002364506,0.00017244,0.006786349,5.96E-05,4.02E-06,2.14E-06,0.002079424,0.001088917,6.50E-07,1.95E-07,1.12E-05,0.000832502,0.002262582,0.003095122,7.40E-05,0.010213232,0.000144745,0.858537674,0.000108089,"breast cancer, na, na"
"breast cancer, invasive, lobular",4.46E-10,6.43E-07,8.49E-08,5.24E-08,2.06E-06,2.28E-05,3.92E-06,5.52E-06,6.31E-09,3.52E-09,3.55E-07,1.38E-08,6.28E-07,2.43E-13,4.13E-06,2.65E-07,2.52E-06,0.999950528,0.000122693,3.53E-05,1.39E-10,0.000113801,1.09E-06,9.68E-07,"breast cancer, invasive, lobular"
"benign, usual ductal hyperplasia, na",7.32E-06,3.01E-06,0.000116608,6.91E-06,2.32E-06,7.11E-10,5.70E-08,1.63E-05,0.016140779,1.11E-08,3.05E-07,0.704923153,0.405017167,6.69E-07,1.48E-06,5.52E-07,4.46E-05,4.89E-05,4.18E-07,8.59E-06,8.32E-09,8.41E-09,2.20E-08,1.16E-06,"benign, sclerosing adenosis, na"
"breast cancer, in situ, ductal",2.02E-10,8.13E-11,3.55E-10,1.73E-08,3.26E-07,2.22E-12,4.70E-10,1.48E-08,2.30E-09,8.85E-09,1.58E-07,2.16E-07,3.76E-08,0.999998987,2.50E-08,5.62E-07,1.05E-06,9.50E-12,2.35E-12,3.64E-08,1.15E-08,8.06E-13,1.18E-10,1.85E-07,"breast cancer, in situ, ductal"
"breast cancer, invasive, ductal",1.99E-09,1.11E-09,9.57E-10,1.03E-08,1.71E-06,9.89E-10,6.83E-08,2.64E-06,4.63E-08,9.90E-09,5.18E-09,2.53E-08,1.06E-08,7.35E-11,2.88E-13,1.17E-07,0.99999994,6.76E-06,1.19E-06,5.61E-07,1.56E-06,2.59E-07,1.13E-09,1.07E-06,"breast cancer, invasive, ductal"
"atypical, fibroadenoma, na",1.77E-06,5.33E-07,0.999999762,6.15E-07,8.81E-07,1.59E-07,5.50E-08,1.73E-05,5.08E-07,4.47E-09,1.08E-06,8.86E-07,5.55E-07,2.33E-08,7.35E-07,6.80E-08,5.44E-06,6.12E-06,3.21E-08,2.48E-07,2.35E-07,4.01E-08,3.62E-08,9.53E-07,"atypical, fibroadenoma, na"
"atypical, fibroadenoma, na",1.77E-06,5.33E-07,0.999999762,6.15E-07,8.81E-07,1.59E-07,5.50E-08,1.73E-05,5.08E-07,4.47E-09,1.08E-06,8.86E-07,5.55E-07,2.33E-08,7.35E-07,6.80E-08,5.44E-06,6.12E-06,3.21E-08,2.48E-07,2.35E-07,4.01E-08,3.62E-08,9.53E-07,"atypical, fibroadenoma, na"
"atypical, fibroadenoma, na",3.87E-06,4.26E-07,0.800041556,2.25E-06,4.49E-06,1.72E-10,0.00015565,5.49E-07,2.89E-07,1.13E-08,2.67E-06,2.76E-09,0.566128314,2.42E-08,3.81E-07,3.60E-08,1.90E-06,4.07E-06,1.93E-09,7.40E-07,6.37E-08,6.58E-08,2.94E-09,8.59E-07,"atypical, fibroadenoma, na"
"atypical, fibroadenoma, na",2.50E-06,2.42E-07,0.999999821,5.53E-07,9.55E-07,2.03E-08,1.36E-08,2.25E-05,4.53E-07,2.92E-09,2.44E-06,6.67E-08,6.12E-08,1.97E-08,7.45E-07,2.96E-08,9.09E-07,1.04E-07,4.72E-09,1.75E-07,4.54E-07,2.84E-07,1.06E-09,4.76E-07,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",8.69E-08,4.01E-09,0.003008505,2.78E-08,6.10E-06,7.59E-13,1.50E-08,3.58E-07,3.33E-08,8.51E-10,9.00E-08,5.34E-09,2.69E-09,0.010114367,9.41E-11,2.47E-08,0.768446207,3.38E-10,5.07E-10,4.38E-10,3.47E-05,2.22E-11,2.91E-13,2.15E-07,"breast cancer, invasive, ductal"
"benign, apocrine metaplasia, na",1.06E-07,1.10E-06,0.004736407,1.62E-05,3.49E-06,0.999145091,1.83E-05,1.87E-05,3.99E-07,3.73E-05,0.000331018,0.000379431,0.000569188,1.21E-06,1.03E-05,1.41E-06,5.88E-06,1.72E-05,3.02E-08,2.94E-06,1.46E-07,1.18E-08,1.35E-11,3.33E-06,"benign, apocrine metaplasia, na"
"benign, papilloma, na",0.024912793,2.82E-06,1.11E-06,3.94E-06,1.78E-06,3.60E-06,4.05E-08,1.46E-05,0.973698676,3.34E-07,9.05E-05,2.86E-06,1.00E-09,4.18E-07,1.32E-06,7.22E-06,8.49E-07,5.44E-07,5.68E-07,5.40E-05,1.85E-07,9.34E-07,0.000658278,7.57E-07,"benign, papilloma, na"
"benign, usual ductal hyperplasia, na",0.031322084,1.44E-05,5.44E-05,1.27E-05,2.11E-05,4.83E-06,1.02E-06,8.11E-05,4.80E-07,1.47E-05,1.07E-06,5.14E-05,0.999788344,4.78E-07,1.23E-07,2.93E-06,0.005602181,0.000271164,7.21E-06,2.11E-05,1.99E-05,1.18E-06,7.59E-06,4.85E-05,"benign, usual ductal hyperplasia, na"
"breast cancer, invasive, ductal",2.30E-09,2.47E-10,8.15E-10,5.70E-09,1.36E-06,6.97E-09,2.90E-08,1.76E-06,1.68E-08,5.83E-09,4.16E-09,5.48E-08,9.37E-09,2.30E-10,5.10E-13,1.52E-07,0.999999106,2.56E-05,3.60E-06,4.38E-06,8.90E-07,1.78E-07,2.04E-10,3.55E-06,"breast cancer, invasive, ductal"
"benign, cyst, na",5.56E-10,8.28E-07,3.28E-07,3.70E-07,9.62E-07,8.76E-06,0.999983132,6.35E-06,6.03E-07,1.72E-06,5.83E-06,3.55E-08,2.28E-06,8.13E-06,1.75E-07,1.76E-07,9.90E-08,2.12E-06,3.70E-07,7.70E-07,1.21E-08,3.29E-08,3.47E-07,1.14E-06,"benign, cyst, na"
"breast cancer, invasive, ductal",1.50E-11,6.87E-12,2.10E-11,2.96E-08,1.33E-06,5.89E-12,3.30E-09,1.11E-08,1.47E-08,2.84E-09,1.02E-08,8.87E-10,3.81E-10,2.01E-07,2.73E-12,1.24E-07,0.999999583,1.60E-09,5.56E-09,6.27E-08,3.21E-08,7.17E-09,6.06E-13,9.29E-08,"breast cancer, invasive, ductal"
"breast cancer, in situ, ductal",9.58E-09,9.93E-10,1.73E-08,4.93E-08,6.34E-07,4.22E-09,2.02E-08,2.36E-07,1.41E-07,1.85E-08,2.58E-07,2.02E-08,1.23E-10,0.999997556,2.60E-05,1.08E-05,2.53E-06,3.31E-11,1.28E-08,1.45E-08,8.18E-09,7.30E-11,1.32E-08,6.88E-07,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",5.26E-11,2.18E-08,3.08E-09,2.08E-07,1.24E-06,3.16E-09,8.37E-09,7.43E-08,2.32E-07,8.16E-10,1.00E-06,1.71E-11,5.57E-12,0.999996066,0.000407948,3.26E-05,8.84E-08,1.69E-09,6.20E-11,4.32E-06,1.53E-09,3.96E-10,1.04E-08,6.43E-06,"breast cancer, in situ, ductal"
"benign, usual ductal hyperplasia, na",0.000167722,1.06E-07,0.000823191,2.79E-06,1.78E-06,0.001377815,1.09E-07,3.92E-06,2.34E-07,8.73E-06,5.16E-07,7.81E-08,0.995678604,9.62E-08,3.52E-06,2.92E-07,4.29E-06,1.79E-06,9.81E-06,4.40E-07,1.43E-07,5.42E-08,1.91E-10,3.63E-07,"benign, usual ductal hyperplasia, na"
"breast cancer, in situ, ductal",4.74E-08,1.46E-10,3.95E-08,4.16E-08,1.21E-06,1.49E-07,1.66E-09,2.52E-08,3.97E-06,5.35E-09,0.000106354,1.73E-10,1.13E-10,0.999996841,0.001456647,4.14E-05,1.59E-08,2.33E-12,1.29E-10,7.27E-07,7.73E-08,8.25E-10,2.82E-12,8.20E-07,"breast cancer, in situ, ductal"
