Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"breast cancer, in situ, ductal",5.02E-09,3.27E-11,7.85E-10,6.69E-08,1.20E-05,1.88E-09,1.18E-09,5.69E-08,1.38E-07,4.77E-08,6.11E-07,5.86E-10,6.87E-09,0.000698936,0.000304059,2.29E-07,2.09E-05,1.11E-08,4.61E-06,8.07E-07,0.000401378,6.23E-08,6.67E-06,2.77E-05,"breast cancer, in situ, ductal"
"atypical, fibroadenoma, na",1.42E-06,9.74E-06,0.999998748,7.29E-06,4.34E-06,1.40E-07,6.06E-06,0.000139013,4.92E-06,6.08E-07,1.48E-06,4.06E-07,3.08E-07,2.11E-06,2.86E-07,7.77E-07,2.95E-06,6.55E-06,1.13E-07,2.01E-06,9.51E-07,2.44E-06,8.28E-07,1.13E-06,"atypical, fibroadenoma, na"
"breast cancer, metastasis, na",1.74E-09,6.07E-10,1.53E-08,6.61E-09,5.16E-08,5.45E-11,2.17E-08,6.61E-10,6.58E-10,6.48E-11,7.25E-09,1.96E-12,2.29E-10,0.042874847,3.83E-10,1.76E-07,0.031149695,1.44E-09,2.54E-09,0.239434645,8.94E-10,1.25E-08,1.04E-05,1.17E-07,"breast cancer, metastasis, na"
"atypical, atypical ductal hyperplasia, na",0.99999243,2.17E-06,4.49E-08,2.17E-07,5.36E-07,1.68E-08,2.26E-10,8.41E-08,1.05E-06,4.76E-08,9.01E-07,6.52E-08,2.61E-09,2.08E-05,3.22E-06,3.53E-07,2.60E-07,4.97E-10,4.02E-07,1.93E-08,1.45E-07,2.51E-07,1.14E-09,9.83E-07,"atypical, atypical ductal hyperplasia, na"
"benign, cyst, na",1.77E-08,1.63E-07,1.39E-06,3.22E-06,5.32E-07,1.66E-05,0.999997973,6.11E-07,1.22E-05,9.64E-08,9.11E-06,1.43E-06,3.01E-07,9.40E-07,2.20E-07,3.00E-06,3.96E-06,2.20E-06,3.78E-07,3.82E-06,4.41E-07,3.53E-06,3.15E-08,1.12E-06,"benign, cyst, na"
"benign, cyst, na",6.13E-10,8.95E-07,8.12E-06,5.68E-07,1.27E-06,0.933400631,0.022456801,1.45E-09,1.19E-05,1.35E-06,6.21E-06,4.20E-07,1.06E-06,9.56E-06,1.41E-05,2.87E-06,5.45E-09,3.52E-08,9.82E-07,8.25E-08,6.47E-09,4.41E-08,1.77E-07,4.04E-07,"benign, apocrine metaplasia, na"
"benign, cyst, na",5.40E-08,3.51E-08,0.004423422,1.06E-07,7.99E-06,0.00010904,0.375544757,0.002531246,0.001007601,2.22E-07,3.03E-05,4.34E-07,2.93E-09,0.000343677,1.74E-06,1.16E-05,2.02E-08,6.41E-09,6.32E-07,1.59E-07,8.35E-09,1.68E-07,0.001639175,3.98E-06,"benign, cyst, na"
"breast cancer, in situ, ductal",3.61E-08,1.02E-09,2.59E-08,8.05E-10,1.57E-05,1.61E-09,2.02E-05,5.25E-10,4.41E-07,1.06E-10,5.79E-08,7.30E-09,1.57E-10,1,3.04E-07,7.65E-07,6.55E-07,1.03E-11,4.61E-09,6.47E-09,1.68E-09,1.28E-09,6.68E-13,2.77E-07,"breast cancer, in situ, ductal"
"benign, apocrine metaplasia, na",0.001605006,0.017906997,0.025677541,5.23E-05,6.41E-06,0.308282912,3.99E-06,0.000628216,1.35E-06,0.001244803,1.63E-05,0.000973003,0.000261949,0.000757559,4.76E-05,5.78E-07,2.48E-07,5.72E-08,5.64E-08,1.49E-05,9.91E-08,4.06E-07,2.91E-07,4.98E-05,"benign, apocrine metaplasia, na"
"benign, usual ductal hyperplasia, na",6.03E-06,9.40E-09,2.88E-07,6.51E-07,6.94E-07,1.55E-08,8.94E-09,2.81E-08,1.78E-07,2.68E-07,5.29E-07,5.18E-08,0.99999994,2.40E-07,1.66E-09,1.24E-07,1.48E-06,5.68E-06,1.78E-08,2.01E-06,3.21E-07,4.41E-09,6.26E-08,1.78E-06,"benign, usual ductal hyperplasia, na"
"breast cancer, invasive, ductal",2.01E-11,2.49E-09,6.08E-15,1.26E-12,1.13E-09,1.99E-13,1.12E-09,3.60E-11,1.03E-12,5.16E-11,9.00E-12,5.27E-11,1.42E-15,1.12E-07,2.62E-14,1.38E-09,0.99821806,1.32E-11,1.05E-08,1.78E-09,3.21E-09,4.21E-11,9.25E-09,4.15E-09,"breast cancer, invasive, ductal"
"breast cancer, in situ, ductal",2.28E-08,1.68E-06,5.25E-07,1.45E-06,2.06E-06,6.08E-07,2.47E-05,1.10E-07,7.27E-08,7.09E-09,2.40E-06,0.00015942,6.47E-10,0.999999702,0.000213047,1.54E-05,5.81E-07,8.02E-08,1.74E-06,2.30E-06,6.83E-10,4.20E-07,3.38E-05,2.70E-06,"breast cancer, in situ, ductal"
"breast cancer, na, na",4.59E-08,8.39E-08,6.11E-08,1.98E-07,1.24E-06,1.31E-07,7.29E-07,1.12E-05,1.63E-06,6.23E-07,3.29E-06,1.47E-06,1.46E-07,7.62E-10,1.31E-08,3.34E-05,2.42E-09,1.38E-05,2.00E-06,3.89E-06,8.94E-08,2.22E-06,0.999991953,1.00E-07,"breast cancer, na, na"
"atypical, atypical lobular hyperplasia, na",5.73E-06,0.854472041,3.21E-08,6.72E-09,4.61E-06,5.68E-11,1.76E-08,8.87E-06,1.15E-06,4.05E-08,1.06E-07,3.84E-09,1.63E-12,6.31E-05,1.95E-07,7.01E-08,2.04E-08,5.42E-06,1.01E-08,6.62E-08,5.63E-11,3.49E-07,2.79E-07,2.97E-08,"atypical, atypical lobular hyperplasia, na"
"benign, pseudoangiomatous stromal hyperplasia, na",3.14E-07,1.18E-05,6.10E-05,0.000277016,3.15E-05,3.17E-06,9.22E-06,4.88E-06,1.90E-05,0.999288976,0.000308842,1.24E-05,4.02E-07,7.17E-07,0.000781626,1.11E-05,6.09E-08,5.84E-06,4.58E-06,7.12E-07,1.07E-06,1.75E-06,5.50E-07,6.54E-06,"benign, pseudoangiomatous stromal hyperplasia, na"
"atypical, fibroadenoma, na",7.09E-07,1.86E-07,0.999999464,1.89E-06,1.41E-07,1.70E-08,7.17E-07,1.41E-06,0.000106199,1.24E-07,4.32E-06,1.05E-08,1.49E-07,1.02E-06,1.77E-08,9.61E-07,8.83E-08,5.68E-06,1.07E-08,4.91E-07,4.18E-08,6.58E-07,1.25E-07,8.01E-08,"atypical, fibroadenoma, na"
"breast cancer, invasive, lobular",1.04E-10,2.07E-05,5.92E-08,4.19E-07,3.84E-06,1.19E-05,6.57E-08,7.61E-06,1.11E-07,9.23E-08,3.62E-06,4.34E-09,1.33E-08,1.05E-10,4.24E-05,4.60E-07,2.28E-06,0.999974072,6.46E-05,6.19E-05,4.94E-10,0.000217349,1.18E-06,2.75E-06,"breast cancer, invasive, lobular"
"breast cancer, invasive, ductal",1.33E-10,6.82E-11,1.13E-07,1.99E-10,1.82E-09,1.17E-10,9.05E-10,1.56E-11,2.81E-10,1.05E-09,9.83E-11,3.16E-09,9.16E-16,2.33E-07,1.25E-09,5.63E-07,0.999999762,1.26E-07,3.94E-07,4.49E-07,5.75E-09,2.66E-09,6.00E-08,3.65E-08,"breast cancer, invasive, ductal"
"atypical, atypical lobular hyperplasia, na",0.000111397,0.513092637,1.88E-06,2.36E-06,1.73E-05,1.56E-07,5.85E-08,5.34E-07,4.79E-07,1.83E-08,7.73E-08,0.716350198,1.13E-07,1.51E-06,0.042508718,1.12E-06,4.45E-05,1.51E-07,1.62E-06,1.63E-06,2.04E-10,2.61E-07,9.17E-10,1.84E-06,"benign, sclerosing adenosis, na"
"benign, apocrine metaplasia, na",8.90E-07,1.27E-05,8.44E-07,4.84E-06,1.24E-06,0.999937773,1.04E-07,5.46E-08,1.38E-07,3.44E-06,1.83E-06,0.000227229,2.54E-07,5.83E-08,3.40E-07,2.33E-06,8.06E-06,3.39E-07,1.82E-07,3.23E-06,8.25E-09,2.38E-07,3.87E-07,1.59E-06,"benign, apocrine metaplasia, na"
"breast cancer, na, na",5.94E-06,3.23E-05,0.000117605,4.04E-05,0.000107474,0.000941302,4.84E-05,0.036269139,2.32E-05,0.000273728,3.09E-05,0.000261063,0.000148984,7.00E-07,6.37E-06,0.00010058,7.83E-05,0.000897671,0.000466476,4.71E-05,0.027111826,0.000202272,0.687793374,2.46E-05,"breast cancer, na, na"
"breast cancer, invasive, lobular",6.52E-11,4.34E-06,5.48E-09,2.98E-07,1.99E-06,2.77E-06,1.16E-08,3.51E-06,4.99E-08,3.44E-08,1.28E-06,3.06E-09,8.69E-09,1.69E-11,3.92E-06,2.42E-07,3.35E-07,0.999976456,9.63E-05,2.26E-05,4.16E-10,7.53E-05,7.72E-06,5.65E-07,"breast cancer, invasive, lobular"
"benign, usual ductal hyperplasia, na",5.84E-05,4.20E-08,3.88E-05,8.13E-08,1.68E-06,2.19E-09,9.58E-09,9.27E-07,3.16E-06,4.26E-08,2.00E-07,0.713500619,0.363188297,5.51E-07,5.85E-07,3.51E-07,0.00087037,6.15E-05,2.06E-07,1.45E-08,1.59E-07,7.52E-08,2.27E-09,1.46E-06,"benign, sclerosing adenosis, na"
"breast cancer, in situ, ductal",3.43E-10,4.54E-12,1.92E-10,9.88E-09,5.43E-07,7.02E-10,1.41E-08,4.67E-10,1.77E-09,3.18E-09,3.20E-08,1.38E-08,2.66E-08,0.999995053,1.25E-11,2.44E-07,0.001752753,1.01E-12,1.63E-13,5.20E-08,5.37E-10,1.37E-09,1.20E-10,1.51E-08,"breast cancer, in situ, ductal"
"breast cancer, invasive, ductal",1.42E-09,1.33E-11,3.58E-09,7.07E-10,1.88E-08,2.96E-10,1.82E-08,2.37E-08,2.63E-09,8.09E-08,8.16E-10,7.28E-09,2.67E-10,5.44E-12,3.26E-13,1.07E-07,1,4.27E-07,2.31E-07,2.65E-07,5.10E-07,3.09E-08,1.24E-08,7.12E-07,"breast cancer, invasive, ductal"
"atypical, fibroadenoma, na",6.26E-07,3.24E-06,0.99999994,8.35E-07,8.14E-07,3.01E-08,1.61E-07,5.07E-06,4.96E-07,6.11E-08,3.33E-07,1.14E-07,5.69E-08,5.70E-07,4.80E-08,1.19E-07,5.25E-07,9.52E-07,4.01E-08,7.01E-07,1.67E-07,4.33E-07,3.47E-08,2.65E-07,"atypical, fibroadenoma, na"
"atypical, fibroadenoma, na",6.26E-07,3.24E-06,0.99999994,8.35E-07,8.14E-07,3.01E-08,1.61E-07,5.07E-06,4.96E-07,6.11E-08,3.33E-07,1.14E-07,5.69E-08,5.70E-07,4.80E-08,1.19E-07,5.25E-07,9.52E-07,4.01E-08,7.01E-07,1.67E-07,4.33E-07,3.47E-08,2.65E-07,"atypical, fibroadenoma, na"
"atypical, fibroadenoma, na",1.75E-06,2.91E-08,0.99840492,1.85E-07,1.63E-07,8.79E-10,0.027786482,9.78E-09,3.19E-07,4.04E-08,5.48E-07,2.23E-08,0.023850763,1.91E-06,8.55E-09,2.89E-07,1.57E-05,1.70E-06,6.28E-09,7.59E-07,8.61E-07,3.24E-08,3.03E-10,4.67E-07,"atypical, fibroadenoma, na"
"atypical, fibroadenoma, na",3.43E-07,5.72E-07,0.999997914,2.78E-07,3.74E-07,8.78E-09,4.33E-07,4.96E-05,4.24E-07,6.94E-08,1.49E-05,2.44E-08,6.27E-08,3.74E-06,1.35E-08,5.61E-08,4.04E-08,2.54E-06,1.34E-08,3.24E-06,1.36E-07,0.000231376,1.83E-08,2.41E-07,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",3.23E-07,9.64E-12,0.00206949,2.20E-08,2.73E-08,6.53E-09,2.66E-09,1.72E-10,3.60E-08,6.96E-09,1.64E-09,8.24E-10,1.96E-06,0.000371061,2.19E-09,1.40E-08,0.977936983,9.30E-10,3.47E-11,8.62E-08,4.97E-10,1.09E-09,2.20E-09,2.63E-07,"breast cancer, invasive, ductal"
"benign, apocrine metaplasia, na",3.48E-06,7.59E-07,0.041643471,4.47E-07,3.36E-06,0.490321994,1.07E-08,2.85E-09,4.21E-07,1.11E-05,8.02E-05,0.002031607,0.002057086,2.42E-08,2.28E-06,1.91E-07,0.000167791,6.27E-07,2.06E-07,2.61E-08,1.28E-09,2.11E-09,1.08E-10,3.23E-06,"benign, apocrine metaplasia, na"
"benign, papilloma, na",0.000262976,5.12E-06,1.10E-06,2.47E-06,9.51E-05,0.000333546,5.46E-05,6.04E-06,0.92887038,1.96E-05,0.042764384,0.002185812,4.74E-08,6.42E-08,1.83E-05,1.38E-05,4.60E-08,4.74E-05,8.52E-06,2.59E-05,1.39E-07,4.55E-06,7.50E-05,7.64E-06,"benign, papilloma, na"
"benign, usual ductal hyperplasia, na",0.192832977,6.90E-08,7.48E-06,1.53E-06,1.18E-06,6.08E-10,1.41E-08,4.67E-08,3.45E-09,3.42E-06,1.35E-06,2.33E-07,0.991386175,1.18E-07,1.83E-07,1.89E-06,5.26E-05,7.22E-05,3.97E-06,1.37E-06,5.37E-05,6.15E-07,4.64E-07,1.63E-05,"benign, usual ductal hyperplasia, na"
"breast cancer, invasive, ductal",9.29E-10,1.23E-11,2.20E-09,2.83E-10,1.62E-08,1.10E-09,2.07E-08,1.67E-08,6.29E-09,6.30E-08,1.78E-09,1.92E-09,4.58E-10,1.04E-11,6.24E-13,1.04E-07,0.999999881,1.40E-06,6.83E-07,3.30E-07,8.43E-07,2.64E-08,8.91E-10,5.31E-07,"breast cancer, invasive, ductal"
"benign, cyst, na",2.74E-10,5.04E-08,2.16E-06,2.27E-06,2.16E-07,4.27E-06,0.99999696,2.42E-07,1.14E-06,1.60E-08,4.72E-06,1.59E-08,1.56E-08,3.25E-06,1.59E-08,7.38E-07,1.22E-08,1.46E-07,1.17E-07,3.23E-06,5.20E-09,4.62E-07,2.64E-08,5.64E-07,"benign, cyst, na"
"breast cancer, invasive, ductal",4.14E-11,1.34E-12,4.07E-12,4.82E-10,3.30E-10,1.25E-10,1.28E-06,1.41E-10,9.33E-11,1.02E-09,7.98E-10,2.50E-10,4.29E-11,6.10E-08,2.29E-12,5.95E-08,0.999996006,9.95E-08,1.55E-07,2.04E-09,9.28E-08,1.91E-09,4.25E-09,1.59E-07,"breast cancer, invasive, ductal"
"breast cancer, in situ, ductal",2.09E-09,2.58E-11,2.59E-08,1.21E-07,4.46E-06,1.04E-07,4.19E-06,4.38E-08,5.56E-09,1.40E-09,3.45E-08,1.97E-08,9.54E-10,1,8.15E-06,3.19E-06,5.01E-07,1.87E-10,1.22E-09,1.69E-07,1.31E-08,2.22E-08,1.41E-07,5.60E-07,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",1.28E-11,4.22E-08,4.02E-06,2.82E-09,7.80E-07,1.58E-10,9.44E-07,1.26E-11,3.90E-08,2.34E-11,6.44E-08,2.32E-10,4.24E-09,0.999985278,1.55E-06,2.53E-08,1.73E-07,2.28E-07,1.46E-08,2.30E-07,1.43E-13,9.70E-10,3.07E-12,2.47E-07,"breast cancer, in situ, ductal"
"benign, usual ductal hyperplasia, na",0.000168293,1.42E-10,0.000420491,9.13E-08,4.90E-07,0.003367091,2.36E-07,1.95E-07,9.31E-07,6.69E-06,7.12E-07,2.84E-07,0.779232144,0.000149925,2.85E-06,6.82E-06,1.55E-07,1.49E-07,0.000264111,8.03E-05,5.00E-07,1.95E-07,5.04E-07,2.75E-06,"benign, usual ductal hyperplasia, na"
"breast cancer, in situ, ductal",1.71E-07,4.04E-12,5.93E-08,6.91E-10,6.07E-07,2.25E-06,3.61E-09,5.73E-10,1.24E-06,2.88E-09,1.47E-05,1.21E-07,4.89E-10,0.999980807,6.68E-05,1.16E-06,1.73E-06,8.62E-10,2.17E-09,1.25E-07,6.36E-10,2.05E-08,3.68E-13,4.56E-07,"breast cancer, in situ, ductal"
